Kout_60uM,Kout_120uM,Acidification,Respiration,Ca_60uM,Ca_120uM,Rb_60uM,Rb_120uM,Influx,Hidrophobicity,Antimicrobial
4.5,31.0,4,5,1.1234135377,0.940996006,1.3222186193,1.191224514,188,0.5,0
4.5,31.0,0,6,1.6440330604,1.096102062,0.928685725,0.773842846,257,0.4,0
0.0,0.0,1,4,0.8987486483,1.1397044939,1.1448360825,1.2376216637,217,1.1,1
29.5,79.0,0,4,2.436897696,3.3060286184,0.8079850558,0.4158795494,277,0.1,0
0.0,2.0,1,0,2.2523459396,1.6655515681,1.1041661131,1.1537400817,300,0.2,1
0.0,2.0,4,4,1.0794226981,1.5568045542,0.624977156,1.0695141442,132,0.8,0
37.5,106.5,4,4,7.1766548138,4.468535159,0.3452035267,0.2892276465,251,0.3,1
52.0,89.5,0,4,5.5046270027,11.8179496486,0.3023292966,0.1695019463,237,0.5,1
0.0,0.0,2,4,1.3910502978,7.9688560267,1.1397502956,1.1116145546,118,0.2,0
0.0,0.0,0,0,0.9804844416,1.1188901165,1.0630820117,0.9311451506,211,4.2,0
1.0,32.5,2,0,1.2912423663,2.6813282119,1.0929846388,1.147368791,208,0.2,0
100.5,140.5,1,2,6.1168947711,7.3466052432,0.3103952361,0.1408114895,213,0.4,0
42.5,95.0,2,2,1.2959236492,6.3509923158,0.6384845231,0.4366667252,198,0.9,1
105.0,180.0,2,2,1.3279427308,1.6292335556,0.62982653,0.0935276083,167,4.9,1
0.5,0.5,2,4,1.1796525448,2.6817876412,0.9334478352,0.9299142085,223,0.2,1
178.5,214.0,2,2,19.5341188484,8.8239204977,0.1344137894,0.0543885436,176,6.4,0
108.5,158.0,1,4,27.4635163456,23.4856970693,0.2665747382,0.2098149919,107,7.5,0
9.3,72.7,2,2,1.5996778511,22.8052665067,0.7313143878,0.5326710836,216,0.2,0
37.5,86.0,0,1,1.5313927078,13.0242087921,0.0261818324,0.0363797592,176,2.2,1
1.0,0.5,2,0,0.9171834792,2.7370846577,1.0640120406,1.1950716326,16,448.4,0
59.5,109.5,4,2,15.6119529009,9.0108559672,0.2056801766,0.2510279902,248,0.3,0
60.0,162.5,-1,2,6.863429707,20.8457228982,0.968440839,0.2612687289,219,0.8,0
165.3,234.7,-1,-1,10.8074515384,14.8492680585,0.0526283807,0.0366541582,150,58.7,1
